"Update Shipping Method","Versandart ändern"
"Billing Information","Rechnungsinformation"
"Billing Address","Rechnungsadresse"
"Payer Email: %s","Rechnungs E-Mail: %s"
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Place an Order","Bestellung aufgeben"
"Submitting order information...","Bestellung wird übermittelt..."
"Product Name","Produktname"
"Price","Preis"
"Qty","Stück"
"Subtotal","Zwischensumme"
"Waiting For Capture Notification", "Warte auf Buchungsbestätigung"
"Waiting For Authorization Notification", "Warte auf Autorisierungsbestätigung"
"Ready For Computop Capture Action", "Bereit für Computop-Buchung"
"Please check your bank account number and bank code number.", "Bitte überprüfen Sie Ihre Kontonummer und Bankleitzahl."
"Your account holder is invalid.", "Ihr Kontoinhaber ist ungültig."
"Your bank account number is invalid.", "Ihre Kontonummer ist ungültig."
"Your bank code number is invalid.", "Ihre Bankleitzahl ist ungültig."
"If your not getting redirected click here.", "Wenn Sie nicht weitergeleitet werden, klicken Sie bitte hier."
"The capture was failed the order will be canceled.", "Das Buchen schlug fehl, die Bestellung wird storniert."
"The authorization was failed the order will be canceled.", "Das Autorisieren schlug fehl, die Bestellung wird storniert."
"The authorization/capture was failed but the order can't cancel.", "Das Autorisieren/Buchen schlug fehl, die Bestellung konnte aber nicht storniert werden."
"Are you sure you want to cancel this order and refund an amount of %s?", "Sind Sie sicher die aktuelle Bestellung zu stornieren und den Betrag von %s zurückzubuchen?"
"CT: Create Invoice", "CT: Rechnung erstellen"
"CT: Create Invoice and Shipment", "CT: Rechnung und Lieferung erstellen"
"Credit Card Type", "Kreditkartenmarke"
"The order #%s has already %s invoice(s).", "Die Bestellung #%s besitzt bereits %s Rechnung(en)."
"Can't create invoice for order #%s.", "Es konnte keine Rechnung für die Bestellung #%s erstellt werden."
"The order #%s was not paid with a computop payment and can't invoiced.", "Die Bestellung #%s wurde nicht mit einer Computop-Zahlungsart bezahlt und kann deswegen nicht in Rechnung gestellt werden."
"The order #%s can't capture.", "Die Bestellung #%s kann nicht in Rechnung gestellt werden."
"Can't create shipment for order #%s.", "Es konnten keine Lieferungen für die Bestellung #%s erstellt werden."
"Can't create invoice and shipment for order #%s. (%s)", "Es konnte keine Rechnung und Lieferung für die Bestellung #%s erstellt werden. (%s)"
"Can't create invoice for order #%s. (%s)", "Es konnte keine Rechnung für die Bestellung #%s erstellt werden."
"Successfully create invoice and shipment for order #%s in amount of %s.", "Es konnte eine Rechnung und Lieferung, für die Bestellung #%s, erfolgreich in Höhe von %s erstellt werden."
"Successfully create invoice for order #%s in amount of %s.", "Es konnte eine Rechnung, für die Bestellung #%s, erfolgreich in Höhe von %s erstellt werden."
"Successfully refund an amount of %s from invoice #%s.", "Der Betrag von %s konnte erfolgreich von der Rechnung #%s zurückgebucht werden."
"Can't refund the amount of %s from invoice #%s. (%s)", "Der Betrag von %s kann nicht von der Rechnung #%s zurückgebucht werden."
"Can't refund the invoice #%s.", "Es kann kein Betrag von der Rechnung #%s zurückgebucht werden."
"Credit Card Payment Gateway", "Kreditkarten Payment Gateway"
"No orders selected with the status ""%s"".", "Es wurden keine Bestellungen mit dem Status ""%s"" ausgewählt."
"Credit Card Logos","Kreditkarten Logos"
"Giropay Logo","Giropay Logo"
"EFT Logo","EFT Logo"
"Directpay Logo","Directpay Logo"
"iDeal Logo","iDeal Logo"
"Mpass Logo","Mpass Logo"
"PayPal Logo","PayPal Logo"
"Maximum length is 756. Attention: some special characters will deleted automatically.", "Maximum beträgt 756 Zeichen. Achtung: Einige Sonderzeichen werden automatisch gelöscht."
"Maximum length is 27. Attention: some special characters will deleted automatically.", "Maximum beträgt 27 Zeichen. Achtung: Einige Sonderzeichen werden automatisch gelöscht."
"Maximum length is 15. Attention: some special characters will deleted automatically.", "Maximum beträgt 15 Zeichen. Achtung: Einige Sonderzeichen werden automatisch gelöscht."
"Maximum length is 758", "Maximum beträgt 758 Zeichen"
"Maximum length is 756", "Maximum beträgt 756 Zeichen"
"Maximum length is 115", "Maximum beträgt 115 Zeichen"
"Maximum length is 47", "Maximum beträgt 47 Zeichen"
"Maximum length is 27", "Maximum beträgt 27 Zeichen"
"Maximum length is 15", "Maximum beträgt 15 Zeichen"
"The customer quit the payment gateway the order will be canceled.", "Der Kunde hat den Payment Gatway verlassen, die Bestellung wird stornieren."
"The customer quit the payment gateway but the order can't cancel.", "Der Kunde hat den Payment Gatway verlassen, die Bestellung konnte aber nicht stornieren werden."
"Transaction ID: ""%s"".", "Transaktions-ID: ""%s""."
"Amount of %s pending approval on gateway.", "Die Buchungs-Genehmigung des Betrages von %s steht noch aus."
"Captured amount of %s online.", "Die Buchung des Betrages von %s wurde online durchgeführt."
"Registered notification about captured amount of %s.", "Es wurde eine Verbuchung des Betrages von %s verzeichnet."
"Refunded amount of %s online.", "Die Online-Rückbuchung von %s wurde erfolgreich durchgeführt."
"Refunded amount of %s offline.", "Es wurde eine Offline-Rückbuchung von %s durchgeführt."
"Authorization amount %s pending approval on gateway.", "Die Autorisierungs-Genehmigung des Betrages von %s steht noch aus."
"Authorized amount of %s.", "Die Autorisierung des Betrages von %s wurde online durchgeführt."
"Registered notification about authorized amount of %s.", "Es wurde eine Autorisierung des Betrages von %s verzeichnet."
"Voided authorization.", "Die Autorisierung wurde zurückgezogen."
"Amount: %s.", "Betrag %s."
"Missing message for error code "%s".", "Nachricht für Fehlercode ""%s"" fehlt."
"There was an undocumented error by processing your payment. Please try again or choose another payment method.", "Beim Verarbeiten Ihrer Bestellung kam es leider zu einem undokumentierten Fehler. Bitten versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart."
"Pseudo Credit Card Nr.","Pseudokreditkarten-Nr."
"Authorizing amount of %s is pending approval on gateway.", "Die Autorisierungs-Genehmigung des Betrages von %s steht noch aus."
"Your secure base url is not secure. Please use an url starting with ""https://"". Otherwise the Computop payment module is not activated.", "Ihre sichere Basis-Url ist ungesichert. Bitte nutzen Sie eine Url die mit ""https://"" beginnt. Andernfalls ist das Computop-Payment-Modul nicht aktiv."
"Please change this <a href=""%s"">configuration</a>.", "Bitte ändern Sie diese <a href=""%s"">Einstellung</a>."
"You'r not allowed to use the PayPal Express Checkout with other payments apart from PayPal.", "Sie können keine PayPal Express-Zahlung mit anderen Zahlungsarten nutzen außer PayPal."
"Please check your account owner.", "Bitte überprüfen Sie Ihren Kontoinhaber."
"You'r current quote is not valid to use PayPal express checkout.", "Ihr aktueller Warenkorb kann nicht für den PayPal Express-Kauf benutzt werden."
"Capture", "Buchung"
"Refund", "Rückbuchung"
"Void", "Stornierung (Void)"
"Transactions", "Transaktionen"
"Is Closed", "Geschlossen"
"Transaction Type", "Transaktionstyp"
"Payment Method Name", "Zahlungsmethoden-Name"
"Parent Transaction ID", "Bezugs-Transaktionsnummer"
"Transaction ID", "Transaktionsnummer"
"Order ID", "Bestell-Nr."
"From", "Von"
"To", "Bis"
"Grand Total", "Gesamtbetrag"
"OTF Method", "OTF-Methode"
"Address check", "Adressprüfung"
"Risk management", "Bonitätsprüfung"
"Waiting For Shipping With Purchase On Account","Warte auf Versand von Rechnungskauf"
"Ready For Capture With Purchase On Account","Bereit für Buchung von Rechnungskauf"
"Invoice couldn't be captured. Please set shipment first.","Buchung konnte nicht durchgeführt werden. Bitte erstellen Sie zuerst einen Versand."
"Capturing amount of %s is pending.","Buchung des Betrags von %s steht noch aus."
"Shipping costs", "Versandkosten"
"Risk Management can only be activated if Address Management is also activated, Day of Birth is required and the shop has terms and conditions.", "Bonitätsprüfung kann nur genutzt werden, wenn das Geburtsdatum ein Pflichtparameter ist, AGBs im Shop vorhanden sind und Adressprüfung aktiv ist."
"Minimal Order Amount", "Mindestbestellwert"
"Minimal order amount to do a risk check.", "Mindestbestellwert ab dem ein Bonitätsprüfung stattfinden soll."
"Check moment", "Bonitätsprüfungszeitpunkt"
"Invalid after", "Erneuern nach"
"Invalid a previous cached risk check after x days.", "Erneuert eine gespeicherte Bonitätsprüfung nach x Tagen"
"Inquiry offices", "Auskunfteien"
"Allowed payments for the risk value yellow", "Erlaubte Zahlungsarten für den Bonitätswert ""Gelb"""
"Allowed payments for the risk value red", "Erlaubte Zahlungsarten für den Bonitätswert ""Rot"""
"These payment methods are allowed if the risk value is yellow.", "Diese Zahlungsarten sind erlaubt, wenn der Bonitätswert ""Gelb"" ist."
"These payment methods are allowed if the risk value is red.", "Diese Zahlungsarten sind erlaubt, wenn der Bonitätswert ""Rot"" ist."
"Please check your address data and try it again.", "Bitte überprüfen Sie Ihre Adressangaben und klicken Sie dann auf weiter."
"The request can't be processed correctly. Please try again.", "Die Anfrage konnte nicht korrekt verarbeitet werden. Bitte versuchen Sie es erneut."
"Your current payment is not available. Please choose another payment method.", "Ihre gewählte Zahlungsart steht Ihnen im Moment nicht zur Verfügung. Bitte wählen Sie eine andere Zahlunsart."
"Gender", "Geschlecht"
"Male", "Mann"
"Female", "Frau"
"Social Security Number", "Sozialversicherungsnummer"
"Commercial Register Number", "Handelsregisternummer"
"Annual Salary", "Jahresgehalt"
"Date of Birth", "Geburtsdatum"
"Date Of Birth", "Geburtsdatum"
"Fallback Payments", "Ausweichzahlungsarten"
"The fallback payments are offert e.g. if the risk check fails.", "Die Ausweichzahlungsarten werden angeboten, wenn z.B. die Bonitätsprüfung kein definiertes Ergebnis liefert."
"Undefined response from computop", "Undefiniert Antwort von Computop"
"Billing address outside of Germany", "Rechnungsadresse außerhalb von Deutschland"
"Fallback Cases", "Ausweichfälle"
"Active Fallback Payments", "Aktiviere Ausweichzahlungsarten"
"The fallback payments are offered in the selected cases.", "Die Ausweichzahlungsarten werden bei den ausgewählten Fällen angeboten."
"On place order", "Beim Absenden der Bestellung"
"On list payment", "Beim Anzeigen der Zahlungsarten"
"Please check your first and last name.","Bitte überprüfen Sie Ihren Vor- und Nachnamen."
"Please check your address street and address number.","Bitte überprüfen Sie Ihre Straße und Hausnummer."
"Please check your email address.", "Bitte überprüfen Sie Ihre E-Mail-Adresse."
"Please check your address data.", "Bitte überprüfen Sie Ihre Adressdaten."
"Please check your post code.", "Bitte überprüfen Sie Ihre PLZ."
"Risk Management can only be activated if Address Management is also activated.","Bonitätsprüfung kann nur bei aktivierter Adressprüfung verwendet werden."
"On undefined error lock customer in billing step", "Bei unbekannten Fehler halte Käufer im Rechnungsschritt"
"This options is used if an error code is not specified in the errors.xml.", "Diese Option wird genutzt, wenn ein Fehlercode nicht in der errors.xml spezifiziert ist."
"Missing valid computop address check", "Ungültige Computop Adressvalidierung"
"It's not allowed to create a invoice manually for order who was paid with klarna. If you ship the order a invoice will create automatically.", "Es ist nicht möglich eine Rechnung für die Bestellung zu erstellen, da sie mit Klarna bezahlt wurde. Beim erstellen einer Lieferung wird automatisch eine Rechnung erstellt."
"Computop Klarna Purchase On Account", "Computop Klarna Rechnungskauf"
"Computop Klarna Financing", "Computop Klarna Finanzkauf"
"Actioncode", "Aktionscode"
"Retrieve values on merchant area at Klarna-Online.", "Abrufen der Werte im Händlerbereich auf Klarna-Online."
"No invoice", "keine Rechnung"
"Test invoice", "Testrechnung"
"Post invoice", "Rechnung per Post"
"E-Mail invoice", "Rechnung per E-Mail"
"Partial invoice", "Teilrechnung"
"Telephon invoice", "Rechnung per Telefon"
"PIN code invoice", "Rechnung per PIN Code"
"Shipping", "Versand"
"Purchase On Account", "Rechnungskauf"
"Invoice", "Rechnung"
"Klarna: Ready for Shipping","Klarna: Bereit zum Versand"
"Your gender is invalid.", "Ihr Geschlecht ist ungültig."
"Your date of birth is invalid.", "Ihr Geburtsdatum ist ungültig."
"Only use digits.", "Es sind nur Zahlen erlaubt."
"Your Social Security Number must be %s digits long.", "Ihre Sozialversicherungsnummer muss %s Zeichen lang sein."
"Your Commercial Register Number must be 4 to 5 digits long.", "Ihre Handelsregisternummer muss zwischen 4 und 5 Zeichen lang sein."
"Required entry.", "Pflichtfeld"
"Please check telephone number", "Bitte prüfen Sie ihre Telefonnummer."
"It's only possible to create a full shipment.", "Es ist nur möglich eine komplette Lieferung zu erstellen."
"No valid credit memo available.", "Keine gültige Gutschrift gefunden."
"It's only possible to create a refund to an related invoice.", "Es ist nur möglich eine Gutschrift zu einem referenzierten Rechnung zu erstellen."
"It's not possible to refund a partial shipping amount. The order shipping amount is %s.", "Es ist nicht möglich nur einen Teil der Versandkosten zu erstatten. Die Lieferkosten betragen %s."
"It's not possible to adjust the refund amount. Only use the product amount to process the refund.", "Es ist nicht möglich den Rückbuchungsbetrag anzupassen. Bitte nutzen Sie die Produktanzahl um eine Gutschrift zu erstellen."
"Credit Card Number", "Kreditkartennummer"
"Expiration Date","Gültig bis"
"Expiration Date: %s/%s","Gültig bis: %s/%s"
"Card Verification Number","Kartenprüfnummer"
"Day", "Tag"
"Month","Monat"
"Year","Jahr"
"--Please Select--","--Bitte wählen--"
"3-D Secure", "3-D-Secure"
"Credit Card Types","Kreditkartentypen"
"Credit Card Types (3-D Secure)","Kreditkartentypen (3-D-Secure)"
"Logos", "Logos"
"Logos (3-D Secure)", "Logos (3-D-Secure)"
"Use new credit card", "Neue Kreditkarte benutzen"
"Use the previous credit card xxxx-%s", "Bereits verwendete Kreditkarte xxxx-%s nutzen"
"Save credit card information", "Kreditkarten-Daten speichern"
"Save Pseudo Credit Card Number", "Pseudo-Kreditkartennummer speichern"
"Save the pseudo credit card number from computop instead the real credit card number from the customer.", "Speichert die Pseudo-Kreditkartennummer von Computop anstelle der echten Kreditkartennummer des Kunden ab."
"Your 3D Secure authorization fails. Please try again or choose another payment method.", "Ihre 3-D-Secure-Autorisierung ist fehlgeschlagen. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart aus."
"Your browser doesn't support iframes.", "Ihr Browser unterstützt keine Iframes."
"Please click here to open the credit card payment gateway in the current window.", "Bitte klicken Sie hier um das Kreditkartengateway im aktuellen Fenster zu öffen."
"Further to input pin", "Weiter zur Pin-Eingabe"
"There was an error by processing your request. Please try again or choose another payment method.", "Es ist ein Fehler bei der Verarbeitung aufgetreten. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart aus."
"A previous enrollment check is missing. Please try again or choose another payment method.", "Eine vorhergehende 3-D-Secure-Verfügbarkeitsprüfung fehlt. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart aus."
"Your authentication was not successful. Please try again or choose another payment method.", "Ihre 3-D-Secure-Authentifizierung war nicht erfolgreich. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart aus."
"3D secure is not active. Please choose another payment method.", "3-D-Secure ist nicht aktiviert. Bitte wählen Sie eine andere Zahlungsart aus."
"This payment method is only allowed for shops with a valid PCI DSS compliance.", "Die Zahlungsart ist nur für Shops geeignet die eine gültige PCI DSS-Zertifizierung besitzen."
"Ensure that your computop account is in ""Hosting Only"" mode if you want to use 3d secure.", "Stellen Sie sicher, dass ihr Computop-Account sich im ""Hosting Only""-Modus befindet, wenn Sie 3-D-Secure benutzen wollen."
"Your 3d-secure authentication was not successful. Please try again or choose another payment method.", "Ihre 3-D-Secure Authentifizierung war nicht erfolgreich. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart aus."
"Computop Billpay Purchase On Account", "Computop Billpay Rechnungskauf"
"Computop Billpay Payment By Installments", "Computop Billpay Ratenzahlung"
"Payment Delay", "Zahlungsverzögerung"
"Minimum Order Total", "Mindestbestellwert"
"Payment from Applicable Countries", "Zahlung aus zugelassenen Ländern"
"Payment from Specific Countries", "Zahlung aus bestimmten Ländern"
"Allow a unequal address as billing and shipping address", "Erlaube unterschiedliche Adressen als Rechnungs- und Lieferanschrift"
"The unit is ""days"".", "Die Einheit ist ""Tage""."
"Salutation", "Anrede"
"YYYY", "JJJJ"
"Company Name", "Firmenname"
"Company Legal Form", "Firmenrechtsform"
"I have read and accept the terms and conditions and the privacy policy of Billpay GmbH.", "Ich habe die AGB und die Datenschutzbestimmungen von Billpay GmbH gelesen und akzeptiere diese."
"I have read and accept the %s and the %s of Billpay GmbH.", "Ich habe die %s und die %s von Billpay GmbH gelesen und akzeptiere diese."
"terms and conditions", "AGB"
"privacy policy", "Datenschutzbestimmungen"
"I have read and accept the ", "Ich habe die "
" and the ", " und die "
" of Billpay GmbH.", " von Billpay GmbH gelesen und akzeptiere diese."
"Please fill in all information before clicking the button 'Get rates' in order to calculate your personal payment plan.", "Bitte füllen Sie zunächst alle Bankinformationen aus und klicken Sie den Button 'Raten berechnen', um Ihre persönlichen Finanzierungsmöglichkeiten zu erhalten."
"Delete", "Löschen"
"Add New Company Legal Form", "Neue Firmenrechtsform hinzufügen"
"Miscellaneous", "Sonstige"
"Key", "Schlüssel"
"-- Please select --", "-- Bitte wählen --"
"Your salutation is invalid.", "Ihre Anrede ist ungültig."
"Your company name is invalid.", "Ihr Firmenname ist ungültig."
"You need to accept the terms and conditions to continue the checkout.", "Sie müssen die AGB und die Datenschutzbestimmungen akzeptieren um den Bestellprozess fortsetzen zu können."
"Characters", "Zeichen"
"Digits", "Zahlen"
"The maximum length for the field %s are %s %s.", "Die Maximallänge für das Feld %s beträgt %s %s."
"To use this payment method in the checkout the customer prefix field must be required.", "Um diese Zahlungsart im Bestellprozess nutzen zu können, muss die Anrede des Kunden ein Pflichtfeld sein."
"A wrong payment method was given. Please try again or choose another payment method.", "Es wurde eine Zahlungsart übergeben. Bitte versuchen Sie es erneut oder wählen Sie eine andere Zahlungsart aus."
"Your selected term is invalid.", "Ihre gewählte Laufzeit ist ungültig."
"Selected Term", "Gewählte Rate"
"Receiver bank details", "Empfängerkonto"
"Intended purpose", "Verwendungszweck"
"Term of payment", "Zahlungsziel"
"Billpay transaction id", "Billpay Transaktions-ID"
"The order does not allow creating an invoice.", "Die Bestellung erlaubt keine Erstellung einer Rechnung."
"Can't create a valid invoice.", "Es konnte keine Rechnung erstellt werden."
"It's only possible to create a full shipment without an previous created invoice.", "Es ist nur möglich eine komplette Lieferung zu erstellen, wenn noch keine Rechnung erstellt wurde."
"Billpay: Ready to Ship/Invoice", "Billpay: Bereit zum Versenden/Buchen"
"Get rates", "Raten berechnen"
"Please select the desired number of monthly rates", "Bitte wählen Sie die gewünschte Anzahl an Monatsraten aus"
"Shopping Cart Value", "Warenkorbwert"
"Surcharge", "Zinsaufschlag"
"Handling Fee", "Bearbeitungsgebühr"
"Coupons", "Gutscheine"
"Grand Total Payment By Installments", "Gesamtsumme Ratenkauf"
"Divided by the number of rates", "Geteilt durch die Anzahl der Raten"
"%s rates", "%s Raten"
"The first rate (incl. fees) amounts", "Die erste Rate inkl. Gebühren beträgt"
"Each successive rate amounts", "Jede folgende Rate beträgt"
"Annual percentage rate", "Effektiver Jahreszins"
"Your part payment in %s rates:", "Ihre Teilzahlung in %s Monatsraten:"
"Please recalculate your rates and select a new one.", "Bitte lassen Sie sich ihre Raten neu berechnen und wählen Sie eine Rate aus."
"Rate plan:", "Ratenplan:"
"Rate No.", "Raten-Nr."
"Amount", "Betrag"
"Due Date", "Fälligkeitsdatum"
"Rate plan", "Ratenplan"
"1st", "1."
"2nd", "2."
"3rd", "3."
"4th", "4."
"5th", "5."
"6th", "6."
"7th", "7."
"8th", "8."
"9th", "9."
"10th", "10."
"11th", "11."
"12th", "12."
"13th", "13."
"14th", "14."
"15th", "15."
"16th", "16."
"17th", "17."
"18th", "18."
"19th", "19."
"20th", "20."
"21st", "21."
"22nd", "22."
"23rd", "23."
"24th", "24."
"25th", "25."
"26th", "26."
"27th", "27."
"28th", "28."
"29th", "29."
"30th", "30."
"31st", "31."
"32nd", "32."
"33rd", "33."
"34th", "34."
"35th", "35."
"36th", "36."
"37th", "37."
"38th", "38."
"39th", "39."
"40th", "40."
"41st", "41."
"42nd", "42."
"43rd", "43."
"44th", "44."
"45th", "45."
"46th", "46."
"47th", "47."
"48th", "48."
"Billpay purchase on account", "Billpay Rechnungskauf"
"Billpay rate pay", "Billpay Ratenkauf"
"The due date will be available after the shop owner create the invoice.", "Das Fälligkeitsdatum ist erst verfügbar, wenn die Rechnung durch den Shop-Betreiber erstellt wird."
"Calculate rates...", "Berechne Raten..."
"Fee", "Bearbeitungsgebühr"
"Base Billpay Grand Total", "Gesamtbetrag Ratenkauf"
"Computop Billpay Direct Debit", "Computop Billpay Lastschrift"
"Billpay direct debit", "Billpay Lastschrift"
"Please transfer the total amount stating the Billpay Transaction number as type of use (%s) within the payment deadline until the %s to the above-mentioned account.", "Bitte überweisen Sie den Gesamtbetrag unter Angabe der Billpay-Transaktionsnummer im Verwendungszweck (%s) innerhalb der Zahlungsfrist bis zum %s auf das oben genannte Konto."
"The total amount will be charged from the specified account in the next few days through the Billpay GmbH.", "Der fällige Gesamtbetrag wird in den nächsten Tagen von dem bei der Bestellung angegebenen Konto durch die Billpay GmbH abgebucht."
"Voided capture.", "Die Buchung wurde zurückgezogen."
