"* Required Fields","* wymagane pola"
"Edit Affiliate <i>%s</i> (%s)","Edytuj partnera <i>%s</i> (%s)"
"Edit Campaign <i>%s</i>","Edytuj kampanię <i>%s</i>"
"Edit Group <i>%s</i>","Edytuj grupę <i>%s</i>"
"Element successfully deleted","Element został usunięty"
"Email","E-mail"
"E-Mail","E-Mail"
"Email Address","Adres e-mail"
"Enable","Włącz"
"Enable Template","Włącz szablon"
"End Date","Data zakończenia"
"Ended","Zakończone"
"Expire","Wygasła"
"February","Luty"
"First Name","Imię"
"Firstname","Imię"
"Firstname:","Imię:"
"Flash","Flash"
"Flash Advertising Details","Szaczegóły reklamy Flash"
"Flash Advertising Settings","Ustawienia reklamy Flash"
"Flash File","Plik Flash"
"From Date","Od daty"
"General","Ogólne"
"general_pending_periode","general_pending_periode"
"Generall","Ogólne"
"Group","Grupa"
"Group Description","Opis grupy"
"Group Details","Szczegóły grupy"
"Group Name","Nazwa grupy"
"Group was create successfully","Grupa została utworzona"
"Group was saved successfully","Grupa została zapisana"
"Group(s)","Grupy"
"Groups","Grupy"
"Handel","Handel"
"Handle","Handle"
"Hidden","Ukryte"
"Homepage","Strona główna"
"Homepage (http://...)","Strona główna (http://...)"
"Homepage Information","Informacja strony głównej"
"HTML","HTML"
"Html Advertising Details","Szczegóły reklamy HTML"
"Html Advertising Settings","Ustawienia reklamy HTML"
"ID","ID"
"Image","Obrazek"
"Image Height","Wysokość obrazka"
"Image Width","Szerokość obrazka"
"Info","Info"
"Inherit","Dziedziczenie"
"Inherit from Group#","Dziedziczenie z grupy #"
"Inmedias Affiliate - Affiliate View","Widok partnera"
"Inmedias Affiliate - Merchant View","Widok handlowca"
"Invalid email address ","Nieprawidłowy e-mail"
"IP","IP"
"Irrelevant","Niedotyczy"
"January","Styczeń"
"July","Lipiec"
"June","Czerwiec"
"Last Name","Nazwisko"
"Last Update","Ostatnia aktualizacja"
"Lastname","Nazwisko"
"Lastname:","Nazwisko:"
"Lead","Lead"
"Lead Lifetime","Czas ważności leadu"
"Lead Lifetime (Invert)","Czas ważności leadu (odwrócone)"
"Lead Lifetime Value","Wartość czasu ważności leadu"
"Leads","Leady"
"Leads Value","Wartość leadów"
"Lifetime","Czas ważności"
"Limited","Limitowane"
"Login For Affiliates","Logowanie dla partnerów"
"March","Marzec"
"May","Maj"
"Middle Name","Drugie imię"
"Middlename","Drugie imię"
"Middlename:","Drugie imię:"
"MM","MM"
"Month","Miesiąc"
"Name","Nazwa"
"Never","Nigdy"
"New Affiliate","Nowy partner"
"New Affiliate Notifikation","Powiadominie nowego partnera"
"New Password","Nowe hasło"
"New Referer Notifikation","Powiadominie nowego polecającego"
"Newsletter","Newsletter"
"Newsletter Leads Value","Wartość leadu newslettera"
"Newsletter Value","Wartość newslettera"
"No","Nie"
"No Affiliate-Data Loadet","Nie załadowano danych partnerów"
"Notconfirmed","Niepotwierdzony"
"Notificat quantity","Ilość powiadomień"
"Novemeber","Listopad"
"October","Październik"
"On status","Na statusie"
"Open Advertising","Otwórz reklamę"
"Open Affiliate","Otwórz partnera"
"Open Customer","Otwórz klienta"
"Open Order","Otwórz zamówienie"
"Open Product","Otwórz produkt"
"Open Referer","Otwórz polecającego"
"Order","Zamówienie"
"Orders","Zamówienia"
"Paid","Zapłacone"
"Pass","Przejście"
"Pass (Invert)","Przejście (odwrócone)"
"Pass Lead (Invert)","Lead przejścia (odwrócone)"
"Password Confirmation","Potwierdzenie hasła"
"Payment","Płatność"
"Payment can not be delete","Płatność nie może być usunięta"
"Payment can not be publish","Płatność nie może być opublikowana"
"Payment can not be save","Płatność nie może być zapisana"
"Payment can not be update","Płatność nie może być zaktualizowana"
"Payment Data","Dane płatności"
"Payment Id","ID płatności"
"Payment ID %s","ID płatności %s"
"Payment offset","Offset płatności"
"Payment was delete successfully","Płatność została usunięta"
"Payment was paid successfully","Płatność została wykonana"
"Payment was publish successfully","Płatność została opublikowana"
"Payment was save successfully","Płatność została zapisana"
"Payment was update successfully","Płatnosć została zaktualizowana"
"Payment with ID %s is unknown","Płatnosć o ID %s jest nieznana"
"Payment XML Export","Eksport XM płatności"
"Pay-Per-Click","Pay-Per-Click"
"Pay-Per-Customer","Pay-Per-Customer"
"Pay-Per-Lead","Pay-Per-Lead"
"Pay-Per-Lead Newsletter","Pay-Per-Lead Newsletter"
"Pay-Per-Lead Register","Pay-Per-Lead Register"
"Pay-Per-Lead Sale","Pay-Per-Lead Sale"
"Pay-Per-Newsletter","Pay-Per-Newsletter"
"Pay-Per-Sale","Pay-Per-Sale"
"Pay-Per-Sale Sale","Pay-Per-Sale Sale"
"PDF","PDF"
"Pending","Oczekuje"
"Pending periode","Okres oczekiwania"
"Personal","Osobiste"
"Personal Information","Informacje osobiste"
"Personal settigs","Ustawienia osobiste"
"Please select region, state or province","Prosimy wybrać region"
"Postcode","Kod pocztowy"
"Postcode:","Kod pocztowy:"
"Preview value may not be accurate","Wartość podględu może nie być dokładna"
"Price","Cena"
"Product","Produkt"
"Product Type","Typ produktu"
"Products","Produkty"
"Publisch","Publikuj"
"Publish","Publikuj"
"Qty","Ilość"
"Qualifying Groups","Grupy kwalifikujące"
"Redirect to","Przekieruj do"
"Referer","Polecający"
"Referer Information","Informacja polecającego"
"Region","Region"
"Region ","Region "
"Region:","Region:"
"Registered Affiliate","Zarejestrowany partner"
"Registrations","Rejestracje"
"Reject","Odrzuć"
"Reject Template","Odrzuć szablon"
"Release Status","Status wydania"
"Released","Wydane"
"Root","Root"
"Running","W trakcie"
"Sale","Sprzedaż"
"Sale Lifetime","Czas ważności sprzedaży"
"Sale Lifetime (Invert)","Czas ważności sprzedaży (odwrócone)"
"Sale Lifetime Value (%)","Wartość czasu ważności sprzedaży"
"Sales","Sprzedaże"
"Sales Price","Cena sprzedaży"
"Salutation","Pozdrowienie"
"Salutation:","Pozdrowineie:"
"Save","Zapisz"
"Send","Wysłane"
"Send clicks notification","Wyślij powiadomienie kliknięć"
"Send Emails To","Wyślij e-mail do"
"Sender","Nadawca"
"Sender email","E-mail nadawcy"
"Sender name","Naza nadawcy"
"September","Wrzesień"
"Show","Pokaż"
"Snippets","Kod"
"State/Province","Region"
"Static Image","Statyczna grafika"
"Static Image Advertising Details","Szczegóły reklamy ze statyczną grafiką"
"Static Image Advertising Settings","Ustawienia reklamy ze statyczną grafiką"
"Statistic","Statystyki"
"Statistics","Statystyki"
"Status","Status"
"Status Change","Zmaina statusu"
"Status Sender","Nadawca statusu"
"Street","Ulica"
"Street :","Ulica:"
"Street Address","Adres"
"Submit","Wyślij"
"Subscriber (confirmed / unconfirmed)","Subskrbent (potwierdzony / niepotwierdzony)"
"Telephone","Telefon"
"Telephone:","Telefon:"
"Template","Szablon"
"Terms","Warunki"
"Test","Test"
"Test Code Snippet","Testowy kawałek kodu"
"Text","Tekst"
"Text Advertising Details","Szczegóły reklamy tekstowej"
"Text Advertising Settings","Ustawienia reklamy tekstowej"
"Time period (min)","Czas (min)"
"Titel","Tytuł"
"Title","Tytuł"
"Title:","Tytuł:"
"To Date","Do daty"
"Total","Łącznie"
"Tracking","Śledzenie"
"Type","Typ"
"Type of Company","Typ firmy"
"Type of Company:","Typ firmy:"
"Undefine","Nieustalone"
"Unknown","Nieznane"
"Unlimited","Nieogranicozne"
"Update","Aktualizacja"
"Update at","Zaktualizowane"
"User Name","Nazwa użytkownika"
"Validation","Walidacja"
"Value","Wartość"
"Value (%)","Wartość (%s)"
"Value added tax ID","ID podatku VAT"
"Value added tax ID:","ID podatku VAT:"
"Value In","Wartość wejściowa"
"Value Out","Wartość wyjściowa"
"Values","Wartości"
"Views","Otwarcia"
"Waiting","Oczekuje"
"XML","XML"
"XML Full","Pełen XML"
"XML Root Tag","XML Root Tag"
"XML Template","Szablon XML"
"Year","Rok"
"Yes","Tak"
"YYYY","YYYY"
"Zip/Postal Code","Kod pocztowy"
